time	H2	O2	H2O	OH	H	HO2	O	N2
88	0.387586	0.43672	5.08093e-005	0.00397493	0.220082	0.00015666	0.102182	0.01
89	0.386472	0.436126	5.25169e-005	0.0040559	0.222216	0.000159871	0.103282	0.01
90	0.385362	0.435531	5.42596e-005	0.00413749	0.224343	0.000163107	0.104381	0.01
91	0.384254	0.434936	5.60377e-005	0.00421968	0.226463	0.000166369	0.105479	0.01
92	0.38315	0.434342	5.78513e-005	0.00430248	0.228577	0.000169657	0.106576	0.01
93	0.38205	0.433748	5.97007e-005	0.00438587	0.230683	0.00017297	0.107672	0.01
94	0.380952	0.433154	6.1586e-005	0.00446986	0.232782	0.000176308	0.108766	0.01
95	0.379857	0.43256	6.35075e-005	0.00455444	0.234875	0.00017967	0.10986	0.01
96	0.378765	0.431967	6.54652e-005	0.00463959	0.236961	0.000183058	0.110952	0.01
97	0.377677	0.431374	6.74595e-005	0.00472533	0.239039	0.00018647	0.112043	0.01
98	0.376592	0.430781	6.94903e-005	0.00481163	0.241111	0.000189906	0.113133	0.01
99	0.375509	0.430188	7.1558e-005	0.00489851	0.243176	0.000193366	0.114222	0.01
100	0.37443	0.429596	7.36627e-005	0.00498594	0.245234	0.000196851	0.11531	0.01
101	0.373354	0.429003	7.58045e-005	0.00507392	0.247286	0.000200359	0.116397	0.01
102	0.372281	0.428411	7.79835e-005	0.00516246	0.249331	0.00020389	0.117483	0.01
103	0.371211	0.42782	8.02e-005	0.00525154	0.251368	0.000207445	0.118567	0.01
104	0.370144	0.427228	8.2454e-005	0.00534116	0.2534	0.000211023	0.119651	0.01
105	0.36908	0.426637	8.47457e-005	0.00543132	0.255424	0.000214624	0.120733	0.01
106	0.36802	0.426046	8.70751e-005	0.005522	0.257442	0.000218248	0.121814	0.01
107	0.366962	0.425455	8.94425e-005	0.00561321	0.259452	0.000221894	0.122894	0.01
108	0.365907	0.424864	9.1848e-005	0.00570494	0.261457	0.000225563	0.123973	0.01
109	0.364856	0.424274	9.42916e-005	0.00579718	0.263454	0.000229254	0.125051	0.01
110	0.363807	0.423684	9.67734e-005	0.00588994	0.265445	0.000232967	0.126127	0.01
111	0.362761	0.423094	9.92937e-005	0.00598319	0.26743	0.000236702	0.127203	0.01
112	0.361719	0.422505	0.000101852	0.00607695	0.269407	0.000240459	0.128277	0.01
113	0.360679	0.421916	0.00010445	0.00617119	0.271378	0.000244238	0.129351	0.01
114	0.359643	0.421327	0.000107085	0.00626593	0.273343	0.000248037	0.130423	0.01
115	0.358609	0.420738	0.00010976	0.00636116	0.275301	0.000251858	0.131494	0.01
116	0.357579	0.42015	0.000112473	0.00645686	0.277252	0.0002557	0.132564	0.01
117	0.356551	0.419562	0.000115225	0.00655303	0.279197	0.000259563	0.133632	0.01
118	0.355527	0.418974	0.000118017	0.00664968	0.281135	0.000263446	0.1347	0.01
119	0.354505	0.418387	0.000120847	0.00674679	0.283067	0.00026735	0.135766	0.01
