time	H2	O2	H2O	OH	H	HO2	O	N2
11200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
11900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
12900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
13900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
14900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
15900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
16900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
17900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
18900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
19900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
